date,open,high,low,close,volume,Actual return
1/21/15 9:30,23.83,23.83,23.83,23.83,100,
1/21/15 11:00,23.98,23.98,23.98,23.98,100,0.006295
1/22/15 15:00,24.42,24.42,24.42,24.42,100,0.018349
1/22/15 15:15,24.42,24.44,24.42,24.44,200,0.000819
1/22/15 15:30,24.46,24.46,24.46,24.46,200,0.000818
1/26/15 12:30,24.34,24.34,24.33,24.33,200,-0.005315
1/26/15 14:15,24.28,24.28,24.28,24.28,100,-0.002055
1/26/15 14:45,24.26,24.26,24.26,24.26,100,-0.000824
1/26/15 15:15,24.24,24.24,24.24,24.24,100,-0.000824
1/27/15 10:00,24.05,24.06,24.05,24.05,500,-0.007838
1/27/15 10:15,24.06,24.06,24.06,24.06,100,0.000416
1/27/15 10:30,24.03,24.03,24.03,24.03,100,-0.001247
1/27/15 11:45,24.05,24.05,24.05,24.05,100,0.000832
1/27/15 14:00,24.12,24.12,24.12,24.12,100,0.002911
1/27/15 14:15,24.15,24.15,24.15,24.15,100,0.001244
1/27/15 15:00,24.13,24.14,24.13,24.14,200,-0.000414
1/27/15 15:15,24.13,24.13,24.11,24.12,300,-0.000829
1/27/15 15:30,24.11,24.11,24.11,24.11,100,-0.000415
1/27/15 15:45,24.14,24.14,24.11,24.12,800,0.000415
1/29/15 15:45,23.9,23.9,23.89,23.89,1100,-0.009536
1/30/15 13:30,23.75,23.75,23.75,23.75,600,-0.005860
2/02/2015 10:15,23.89,23.89,23.89,23.89,100,0.005895
2/02/2015 11:00,23.92,23.92,23.92,23.92,100,0.001256
2/02/2015 11:15,23.94,23.94,23.94,23.94,100,0.000836
2/02/2015 11:30,23.95,23.95,23.95,23.95,100,0.000418
2/02/2015 13:30,23.88,23.88,23.88,23.88,400,-0.002923
2/03/2015 11:15,24.16,24.16,24.16,24.16,700,0.011725
2/03/2015 11:30,24.18,24.18,24.18,24.18,100,0.000828
2/03/2015 13:15,24.17,24.17,24.17,24.17,100,-0.000414
2/03/2015 14:30,24.15,24.15,24.15,24.15,100,-0.000827
2/03/2015 14:45,24.16,24.16,24.15,24.15,200,0.000000
2/06/2015 11:00,24.13,24.13,24.13,24.13,200,-0.000828
2/10/2015 10:30,23.99,23.99,23.99,23.99,300,-0.005802
2/10/2015 11:00,23.98,23.98,23.98,23.98,200,-0.000417
